POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
71,15.82,0.85,1.3295826e-05,1.362083e-05,9.466664e-06,9.787496e-06,1.0145831e-05,9.920827e-06,1.2929161e-05,1.0454162e-05,4.866663e-06,2.0504165e-05,1.300416e-05,7.479159e-06,2.043333e-05,4.866663e-06,4.89583e-06,4.904159e-06
72,16.043,0.83,1.4141663e-05,1.4529164e-05,1.0383328e-05,1.0533333e-05,1.0883331e-05,1.0666665e-05,1.380833e-05,1.1345832e-05,4.720831e-06,2.036666e-05,1.3754161e-05,7.724992e-06,2.036666e-05,4.733332e-06,4.724996e-06,4.716659e-06
73,16.266,0.81,1.4912494e-05,1.5345828e-05,1.13e-05,1.1395828e-05,1.1816661e-05,1.152916e-05,1.4591662e-05,1.2249994e-05,4.570826e-06,2.0208327e-05,1.4637494e-05,8.058326e-06,2.0241665e-05,4.574998e-06,4.574998e-06,4.604165e-06
74,16.489,0.79,1.5637494e-05,1.6058326e-05,1.2187496e-05,1.2216663e-05,1.2712495e-05,1.2333329e-05,1.5274994e-05,1.3104161e-05,4.408328e-06,2.0133328e-05,1.535833e-05,8.304159e-06,2.0099997e-05,4.429166e-06,4.420829e-06,4.466661e-06
75,16.712,0.77,1.62625e-05,1.6754166e-05,1.2991659e-05,1.3016661e-05,1.3479162e-05,1.3070829e-05,1.5979163e-05,1.3966664e-05,4.320828e-06,2.0016661e-05,1.5954161e-05,8.558329e-06,2.0008325e-05,4.299998e-06,4.299998e-06,4.27916e-06
76,16.935,0.75,1.6916665e-05,1.7379165e-05,1.3762497e-05,1.3824995e-05,1.4362494e-05,1.3879164e-05,1.6562493e-05,1.4770826e-05,4.137492e-06,1.9887495e-05,1.6666667e-05,8.874997e-06,1.985e-05,4.129163e-06,4.129163e-06,4.141665e-06
77,17.157,0.73,1.7433325e-05,1.7974997e-05,1.4491661e-05,1.4504162e-05,1.5054163e-05,1.45125e-05,1.7108328e-05,1.545833e-05,3.974994e-06,1.980416e-05,1.7216667e-05,9.066661e-06,1.9699995e-05,4.037492e-06,3.979158e-06,3.987495e-06
78,17.38,0.71,1.7974997e-05,1.8483328e-05,1.5137498e-05,1.5141662e-05,1.5716663e-05,1.5124997e-05,1.7579167e-05,1.6183329e-05,3.895831e-06,1.9645826e-05,1.7724999e-05,9.295829e-06,1.9604166e-05,3.891659e-06,3.874993e-06,3.879165e-06
79,17.603,0.69,1.8483328e-05,1.8962495e-05,1.5729165e-05,1.5799998e-05,1.6387494e-05,1.5729165e-05,1.8062496e-05,1.6749995e-05,3.699994e-06,1.9524996e-05,1.8299992e-05,9.558328e-06,1.9524996e-05,3.708331e-06,3.724996e-06,3.724996e-06
80,17.826,0.67,1.8904162e-05,1.9391664e-05,1.6308331e-05,1.6304159e-05,1.6904163e-05,1.6237498e-05,1.8549999e-05,1.7262499e-05,3.591665e-06,1.942083e-05,1.8695831e-05,9.708333e-06,1.9366662e-05,3.574999e-06,3.60833e-06,3.554161e-06
81,18.049,0.65,1.9370826e-05,1.9833325e-05,1.6824992e-05,1.6816664e-05,1.7408331e-05,1.677916e-05,1.8916662e-05,1.7854167e-05,3.454161e-06,1.9266661e-05,1.9062496e-05,9.920827e-06,1.9270834e-05,3.458325e-06,3.474998e-06,3.454161e-06
82,18.272,0.63,1.9745827e-05,2.0191661e-05,1.7254162e-05,1.7299993e-05,1.7954168e-05,1.722916e-05,1.9333331e-05,1.8337496e-05,3.291663e-06,1.9191662e-05,1.9474999e-05,1.0129165e-05,1.9208328e-05,3.308328e-06,3.295827e-06,3.304164e-06
83,18.494,0.61,2.0066667e-05,2.0612493e-05,1.7729164e-05,1.7791661e-05,1.8383329e-05,1.7649993e-05,1.9612495e-05,1.8791659e-05,3.191662e-06,1.9083333e-05,1.9829162e-05,1.0287499e-05,1.9029165e-05,3.220828e-06,3.187497e-06,3.208327e-06
84,18.717,0.59,2.036666e-05,2.0899995e-05,1.8137494e-05,1.8191664e-05,1.8774994e-05,1.8041666e-05,1.9904161e-05,1.9170833e-05,3.066659e-06,1.8962495e-05,2.0187497e-05,1.0479164e-05,1.9004163e-05,3.074996e-06,3.045829e-06,3.05833e-06
85,18.94,0.57,2.0724996e-05,2.1208327e-05,1.8433333e-05,1.8524996e-05,1.9170833e-05,1.8458326e-05,2.0233329e-05,1.9537496e-05,2.899996e-06,1.889166e-05,2.0491663e-05,1.0641662e-05,1.8841663e-05,2.933327e-06,2.912498e-06,2.937492e-06
86,19.163,0.54,2.0979165e-05,2.1474998e-05,1.8849993e-05,1.8920828e-05,1.9570827e-05,1.8791659e-05,2.0474998e-05,1.9920826e-05,2.816661e-06,1.8774994e-05,2.0783329e-05,1.0754164e-05,1.8729163e-05,2.808333e-06,2.80416e-06,2.80416e-06
87,19.386,0.52,2.1299998e-05,2.1733331e-05,1.9158331e-05,1.9258332e-05,1.9883331e-05,1.9141666e-05,2.0783329e-05,2.0270832e-05,2.654163e-06,1.8629162e-05,2.1037498e-05,1.0966659e-05,1.8645827e-05,2.658328e-06,2.662492e-06,2.68333e-06
88,19.608,0.5,2.1516666e-05,2.2012497e-05,1.9474999e-05,1.9549998e-05,2.0204163e-05,1.9445833e-05,2.100416e-05,2.0579164e-05,2.52916e-06,1.8574992e-05,2.1312499e-05,1.1120828e-05,1.8516659e-05,2.537497e-06,2.562499e-06,2.52916e-06
89,19.831,0.48,2.1766662e-05,2.2270831e-05,1.9791667e-05,1.9912497e-05,2.0491663e-05,1.969583e-05,2.1220827e-05,2.0866664e-05,2.441661e-06,1.8433333e-05,2.1541658e-05,1.1245831e-05,1.844166e-05,2.424995e-06,2.449997e-06,2.458326e-06
90,20.054,0.46,2.2049999e-05,2.2454167e-05,2.0020827e-05,2.0112499e-05,2.0733332e-05,1.9999998e-05,2.1408327e-05,2.1116663e-05,2.295828e-06,1.8304165e-05,2.1833332e-05,1.1391664e-05,1.8337496e-05,2.312493e-06,2.295828e-06,2.291664e-06
